Batch,LossProbability,ServerUtilization,AvgQueued,AvgDelayQueued
1,0.486263,0.51375,0,-1.#
2,0.508478,0.51375,0,-1.#
3,0.508602,0.5035,0,-1.#
4,0.491733,0.4935,0,-1.#
5,0.503209,0.5065,0,-1.#
6,0.493956,0.49125,0,-1.#
7,0.492934,0.5,0,-1.#
8,0.51134,0.5035,0,-1.#
9,0.509765,0.50175,0,-1.#
10,0.522015,0.50825,0,-1.#
11,0.498108,0.492,0,-1.#
12,0.506791,0.51025,0,-1.#
13,0.500807,0.49275,0,-1.#
14,0.498711,0.502,0,-1.#
15,0.499272,0.49125,0,-1.#
16,0.510412,0.50375,0,-1.#
17,0.49616,0.505,0,-1.#
18,0.49147,0.50175,0,-1.#
19,0.512427,0.50125,0,-1.#
20,0.490124,0.4915,0,-1.#
21,0.486391,0.48075,0,-1.#
22,0.484809,0.4945,0,-1.#
23,0.489918,0.4865,0,-1.#
24,0.504989,0.5005,0,-1.#
25,0.490131,0.48775,0,-1.#
26,0.504153,0.504,0,-1.#
27,0.499736,0.50275,0,-1.#
28,0.501849,0.4935,0,-1.#
29,0.501814,0.50125,0,-1.#
30,0.510966,0.502,0,-1.#
31,0.50996,0.5025,0,-1.#
32,0.516326,0.507,0,-1.#
33,0.491172,0.49025,0,-1.#
34,0.494746,0.5105,0,-1.#
35,0.496297,0.504,0,-1.#
36,0.50068,0.50575,0,-1.#
37,0.48841,0.48975,0,-1.#
38,0.488354,0.49675,0,-1.#
39,0.511084,0.507,0,-1.#
40,0.511687,0.501,0,-1.#
41,0.501588,0.4975,0,-1.#
42,0.495741,0.49425,0,-1.#
43,0.514096,0.51575,0,-1.#
44,0.495278,0.505,0,-1.#
45,0.501426,0.50525,0,-1.#
46,0.494016,0.49925,0,-1.#
47,0.505945,0.5005,0,-1.#
48,0.499661,0.49,0,-1.#
49,0.494926,0.49725,0,-1.#
50,0.507872,0.48625,0,-1.#
51,0.491271,0.503,0,-1.#
52,0.498866,0.50775,0,-1.#
53,0.503296,0.497,0,-1.#
54,0.50355,0.50875,0,-1.#
55,0.496995,0.514,0,-1.#
56,0.488434,0.50125,0,-1.#
57,0.51411,0.507,0,-1.#
58,0.50336,0.49575,0,-1.#
59,0.501569,0.5165,0,-1.#
60,0.492428,0.49975,0,-1.#
61,0.501949,0.52,0,-1.#
62,0.511193,0.49725,0,-1.#
63,0.496025,0.50275,0,-1.#
64,0.500256,0.4875,0,-1.#
65,0.489326,0.5005,0,-1.#
66,0.493841,0.4855,0,-1.#
67,0.509208,0.4935,0,-1.#
68,0.503301,0.50375,0,-1.#
69,0.481452,0.48425,0,-1.#
70,0.501676,0.498,0,-1.#
71,0.486628,0.4925,0,-1.#
72,0.499646,0.505,0,-1.#
73,0.504306,0.494,0,-1.#
74,0.496157,0.5035,0,-1.#
75,0.516121,0.51525,0,-1.#
76,0.50228,0.50075,0,-1.#
77,0.502931,0.49125,0,-1.#
78,0.500225,0.50275,0,-1.#
79,0.512877,0.5075,0,-1.#
80,0.485823,0.491,0,-1.#
81,0.494958,0.48425,0,-1.#
82,0.505293,0.49575,0,-1.#
83,0.482478,0.48,0,-1.#
84,0.497111,0.516,0,-1.#
85,0.495637,0.50525,0,-1.#
86,0.505747,0.50425,0,-1.#
87,0.504955,0.50925,0,-1.#
88,0.496973,0.4925,0,-1.#
89,0.492717,0.49975,0,-1.#
90,0.494003,0.50475,0,-1.#
91,0.496812,0.495,0,-1.#
92,0.486789,0.485,0,-1.#
93,0.498443,0.5155,0,-1.#
94,0.498173,0.501,0,-1.#
95,0.503464,0.50175,0,-1.#
96,0.508189,0.49175,0,-1.#
97,0.49089,0.50575,0,-1.#
98,0.494642,0.50275,0,-1.#
99,0.485716,0.49475,0,-1.#
100,0.500552,0.50325,0,-1.#

Summary
ServerUtilization,0.499492
LossRatio,0.500018
AverageQueued,0
AverageDelayQueued,-1.#
