Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
186,0.510824,0.521,0,-1.
187,0.506825,0.498,0,-1.
188,0.498467,0.487,0,-1.
189,0.504135,0.503,0,-1.
190,0.510319,0.518,0,-1.
191,0.510954,0.494,0,-1.
192,0.534421,0.515,0,-1.
193,0.492188,0.498,0,-1.
194,0.4726,0.46,0,-1.
195,0.502498,0.487,0,-1.
196,0.489683,0.506,0,-1.
197,0.502539,0.498,0,-1.
198,0.480691,0.471,0,-1.
199,0.507534,0.514,0,-1.
200,0.517273,0.482,0,-1.
201,0.503159,0.497,0,-1.
202,0.497219,0.462,0,-1.
203,0.514399,0.504,0,-1.
204,0.494515,0.516,0,-1.
205,0.499391,0.511,0,-1.
206,0.490012,0.486,0,-1.
207,0.480724,0.499,0,-1.
208,0.498947,0.501,0,-1.
209,0.51357,0.507,0,-1.
210,0.495135,0.517,0,-1.
211,0.48854,0.506,0,-1.
212,0.50305,0.494,0,-1.
213,0.502389,0.503,0,-1.
214,0.487156,0.483,0,-1.
215,0.520699,0.508,0,-1.
216,0.514288,0.505,0,-1.
217,0.485585,0.496,0,-1.
218,0.482461,0.501,0,-1.
219,0.534373,0.533,0,-1.
220,0.463478,0.489,0,-1.
221,0.496754,0.504,0,-1.
222,0.510376,0.539,0,-1.
223,0.521939,0.524,0,-1.
224,0.484813,0.509,0,-1.
225,0.481669,0.495,0,-1.
226,0.484554,0.491,0,-1.
227,0.502586,0.51,0,-1.
228,0.476203,0.502,0,-1.
229,0.483331,0.491,0,-1.
230,0.545722,0.516,0,-1.
231,0.553489,0.519,0,-1.
232,0.505325,0.52,0,-1.
233,0.501915,0.485,0,-1.
234,0.496336,0.468,0,-1.
235,0.510079,0.51,0,-1.
236,0.480366,0.49,0,-1.
237,0.497089,0.522,0,-1.
238,0.523129,0.539,0,-1.
239,0.506159,0.515,0,-1.
240,0.512886,0.514,0,-1.
241,0.475177,0.479,0,-1.
242,0.4786,0.497,0,-1.
