Batch,LossProbability,ServerUtilization,AvgQueued,AvgDelayQueued
1,0.487395,0.5,0,-1.#
2,0.491695,0.52,0,-1.#
3,0.518007,0.52,0,-1.#
4,0.522641,0.568,0,-1.#
5,0.520962,0.528,0,-1.#
6,0.502178,0.484,0,-1.#
7,0.516275,0.54,0,-1.#
8,0.551136,0.5,0,-1.#
9,0.55009,0.56,0,-1.#
10,0.497824,0.508,0,-1.#
11,0.504105,0.508,0,-1.#
12,0.480055,0.528,0,-1.#
13,0.482013,0.484,0,-1.#
14,0.552344,0.512,0,-1.#
15,0.465642,0.496,0,-1.#
16,0.506404,0.532,0,-1.#
17,0.506347,0.572,0,-1.#
18,0.444018,0.484,0,-1.#
19,0.442456,0.52,0,-1.#
20,0.462269,0.516,0,-1.#
21,0.521729,0.516,0,-1.#
22,0.463912,0.528,0,-1.#
23,0.498463,0.54,0,-1.#
24,0.502134,0.532,0,-1.#
25,0.491497,0.512,0,-1.#
26,0.517361,0.496,0,-1.#
27,0.55468,0.532,0,-1.#
28,0.422345,0.452,0,-1.#
29,0.477925,0.472,0,-1.#
30,0.51703,0.536,0,-1.#
31,0.470641,0.48,0,-1.#
32,0.518873,0.484,0,-1.#
33,0.473311,0.528,0,-1.#
34,0.519046,0.54,0,-1.#
35,0.524612,0.556,0,-1.#
36,0.569408,0.528,0,-1.#
37,0.514594,0.56,0,-1.#
38,0.463668,0.432,0,-1.#
39,0.483385,0.524,0,-1.#
40,0.495544,0.524,0,-1.#
41,0.492551,0.492,0,-1.#
42,0.493509,0.492,0,-1.#
43,0.508215,0.5,0,-1.#
44,0.526088,0.524,0,-1.#
45,0.480444,0.46,0,-1.#
46,0.54992,0.516,0,-1.#
47,0.527645,0.56,0,-1.#
48,0.521836,0.512,0,-1.#
49,0.561223,0.528,0,-1.#
50,0.454337,0.468,0,-1.#
51,0.507401,0.496,0,-1.#
52,0.445673,0.516,0,-1.#
53,0.524072,0.528,0,-1.#
54,0.520135,0.5,0,-1.#
55,0.428252,0.436,0,-1.#
56,0.493863,0.48,0,-1.#
57,0.502864,0.484,0,-1.#
58,0.535961,0.488,0,-1.#
59,0.506001,0.512,0,-1.#
60,0.577094,0.532,0,-1.#
61,0.534424,0.496,0,-1.#
62,0.562522,0.58,0,-1.#
63,0.487483,0.5,0,-1.#
64,0.478229,0.484,0,-1.#
65,0.513023,0.5,0,-1.#
66,0.50735,0.504,0,-1.#
67,0.483297,0.508,0,-1.#
68,0.497461,0.544,0,-1.#
69,0.548397,0.524,0,-1.#
70,0.492652,0.472,0,-1.#
71,0.463368,0.456,0,-1.#
72,0.521994,0.488,0,-1.#
73,0.524793,0.552,0,-1.#
74,0.495114,0.496,0,-1.#
75,0.493909,0.476,0,-1.#
76,0.501574,0.5,0,-1.#
77,0.446797,0.476,0,-1.#
78,0.440267,0.456,0,-1.#
79,0.470813,0.46,0,-1.#
80,0.505141,0.532,0,-1.#
81,0.557338,0.484,0,-1.#
82,0.507656,0.524,0,-1.#
83,0.479862,0.528,0,-1.#
84,0.51507,0.528,0,-1.#
85,0.51689,0.496,0,-1.#
86,0.481665,0.476,0,-1.#
87,0.508882,0.536,0,-1.#
88,0.472334,0.54,0,-1.#
89,0.497771,0.54,0,-1.#
90,0.477971,0.48,0,-1.#
91,0.562974,0.532,0,-1.#
92,0.488039,0.464,0,-1.#
93,0.542913,0.504,0,-1.#
94,0.472882,0.484,0,-1.#
95,0.474382,0.456,0,-1.#
96,0.503267,0.536,0,-1.#
97,0.488052,0.544,0,-1.#
98,0.518123,0.532,0,-1.#
99,0.496736,0.468,0,-1.#
100,0.487647,0.44,0,-1.#

Summary
ServerUtilization,0.501802
LossRatio,0.50772
AverageQueued,0
AverageDelayQueued,-1.#
