Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
1,0.434038,0.45375,0,-1.
2,0.455438,0.4545,0,-1.
3,0.449397,0.4515,0,-1.
4,0.451225,0.4505,0,-1.
5,0.446048,0.4575,0,-1.
6,0.436028,0.42925,0,-1.
7,0.433937,0.4445,0,-1.
8,0.46136,0.43775,0,-1.
9,0.45528,0.4555,0,-1.
10,0.450236,0.44775,0,-1.
11,0.439441,0.44925,0,-1.
12,0.445059,0.4365,0,-1.
13,0.435089,0.438,0,-1.
14,0.442436,0.44375,0,-1.
15,0.444303,0.44025,0,-1.
16,0.448524,0.45625,0,-1.
17,0.447244,0.4355,0,-1.
18,0.439876,0.43,0,-1.
19,0.439099,0.441,0,-1.
20,0.439201,0.44225,0,-1.
21,0.439492,0.43525,0,-1.
22,0.425601,0.43225,0,-1.
23,0.454065,0.4375,0,-1.
24,0.445124,0.43675,0,-1.
25,0.451364,0.44225,0,-1.
26,0.456851,0.4575,0,-1.
27,0.442309,0.4425,0,-1.
28,0.438339,0.43925,0,-1.
29,0.448469,0.44425,0,-1.
30,0.459057,0.4565,0,-1.
31,0.441681,0.445,0,-1.
32,0.449203,0.451,0,-1.
33,0.433942,0.447,0,-1.
34,0.449967,0.4525,0,-1.
35,0.438302,0.437,0,-1.
36,0.428089,0.431,0,-1.
37,0.442465,0.44125,0,-1.
38,0.44341,0.42775,0,-1.
39,0.453566,0.4325,0,-1.
40,0.448778,0.44425,0,-1.
41,0.448036,0.449,0,-1.
42,0.444414,0.45425,0,-1.
43,0.434842,0.43925,0,-1.
44,0.435167,0.43525,0,-1.
45,0.454148,0.44775,0,-1.
46,0.447821,0.445,0,-1.
47,0.44776,0.44575,0,-1.
48,0.439399,0.4335,0,-1.
49,0.435666,0.4435,0,-1.
50,0.447967,0.454,0,-1.
51,0.4357,0.43575,0,-1.
52,0.442435,0.44975,0,-1.
53,0.444355,0.45475,0,-1.
54,0.443597,0.4495,0,-1.
55,0.457198,0.45775,0,-1.
56,0.438779,0.44275,0,-1.
57,0.457392,0.45075,0,-1.
58,0.433741,0.44075,0,-1.
59,0.448054,0.46075,0,-1.
60,0.4459,0.44675,0,-1.
61,0.442488,0.434,0,-1.
62,0.434842,0.43025,0,-1.
63,0.442249,0.45125,0,-1.
64,0.439813,0.42675,0,-1.
65,0.448588,0.4435,0,-1.
66,0.442246,0.4525,0,-1.
67,0.444505,0.43,0,-1.
68,0.442054,0.44725,0,-1.
69,0.441214,0.43275,0,-1.
70,0.445974,0.444,0,-1.
71,0.447346,0.446,0,-1.
72,0.465848,0.467,0,-1.
73,0.440726,0.44275,0,-1.
74,0.445163,0.4355,0,-1.
75,0.441015,0.43775,0,-1.
76,0.458384,0.44675,0,-1.
77,0.439062,0.441,0,-1.
78,0.441802,0.4465,0,-1.
79,0.45858,0.4465,0,-1.
80,0.431128,0.43975,0,-1.
81,0.437993,0.4525,0,-1.
82,0.439188,0.447,0,-1.
83,0.44957,0.445,0,-1.
84,0.452144,0.4485,0,-1.
85,0.430945,0.436,0,-1.
86,0.441921,0.44525,0,-1.
87,0.439667,0.45125,0,-1.
88,0.431355,0.43175,0,-1.
89,0.434781,0.4415,0,-1.
90,0.452643,0.46075,0,-1.
91,0.434193,0.44325,0,-1.
92,0.43882,0.43975,0,-1.
93,0.451342,0.43775,0,-1.
94,0.445663,0.461,0,-1.
95,0.431698,0.448,0,-1.
96,0.447672,0.4605,0,-1.
97,0.444391,0.44,0,-1.
98,0.449534,0.44125,0,-1.
99,0.44512,0.44975,0,-1.
100,0.429344,0.43275,0,-1.

Summary Measures (across all batches)
Server Utilization,0.443867	+/- 0.0015517	(0.349587 %)
Loss/Blocking Probability,0.444203	+/- 0.0016867	(0.379714 %)
Average Number in Queue),0	+/- 0	(-1.#IND %)
Average Delay of Queued Arrivals,-1.#IND	+/- -1.#IND	(-1.#IND %)
