Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
186,0.420013,0.43,0,-1.
187,0.437773,0.435,0,-1.
188,0.451446,0.451,0,-1.
189,0.444772,0.441,0,-1.
190,0.451725,0.438,0,-1.
191,0.443334,0.453,0,-1.
192,0.449663,0.45,0,-1.
193,0.440385,0.411,0,-1.
194,0.445919,0.443,0,-1.
195,0.422029,0.43,0,-1.
196,0.448272,0.434,0,-1.
197,0.416621,0.445,0,-1.
198,0.449036,0.455,0,-1.
199,0.429942,0.44,0,-1.
200,0.440605,0.471,0,-1.
201,0.433323,0.427,0,-1.
202,0.436997,0.447,0,-1.
203,0.481591,0.471,0,-1.
204,0.424246,0.454,0,-1.
205,0.438753,0.445,0,-1.
206,0.429828,0.421,0,-1.
207,0.449994,0.423,0,-1.
208,0.444072,0.456,0,-1.
209,0.436412,0.442,0,-1.
210,0.427519,0.455,0,-1.
211,0.462459,0.446,0,-1.
212,0.426723,0.459,0,-1.
213,0.461635,0.46,0,-1.
214,0.428846,0.441,0,-1.
215,0.462403,0.459,0,-1.
216,0.424083,0.444,0,-1.
217,0.450696,0.442,0,-1.
218,0.448977,0.459,0,-1.
219,0.450347,0.453,0,-1.
220,0.429756,0.445,0,-1.
221,0.454159,0.478,0,-1.
222,0.487762,0.46,0,-1.
223,0.45741,0.448,0,-1.
224,0.455066,0.457,0,-1.
225,0.434145,0.418,0,-1.
226,0.446356,0.468,0,-1.
227,0.420723,0.428,0,-1.
228,0.458526,0.448,0,-1.
229,0.474098,0.458,0,-1.
230,0.443459,0.445,0,-1.
231,0.454976,0.452,0,-1.
232,0.433671,0.435,0,-1.
233,0.411135,0.414,0,-1.
234,0.443171,0.461,0,-1.
235,0.448578,0.453,0,-1.
236,0.451288,0.453,0,-1.
237,0.442934,0.448,0,-1.
238,0.450729,0.482,0,-1.
239,0.44708,0.46,0,-1.
240,0.427574,0.425,0,-1.
241,0.446834,0.446,0,-1.
242,0.464296,0.453,0,-1.
243,0.446875,0.463,0,-1.
244,0.460964,0.425,0,-1.
245,0.428957,0.438,0,-1.
246,0.450445,0.454,0,-1.
247,0.429777,0.419,0,-1.
248,0.442894,0.425,0,-1.
249,0.437198,0.441,0,-1.
250,0.414378,0.431,0,-1.
251,0.444864,0.424,0,-1.
252,0.450803,0.459,0,-1.
253,0.454971,0.474,0,-1.
254,0.435233,0.442,0,-1.
255,0.429557,0.43,0,-1.
