Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
1,0.366727,0.36,0,-1.
2,0.408164,0.388,0,-1.
3,0.371106,0.376,0,-1.
4,0.419544,0.424,0,-1.
5,0.372763,0.364,0,-1.
6,0.406234,0.404,0,-1.
7,0.416305,0.392,0,-1.
8,0.411345,0.364,0,-1.
9,0.397177,0.388,0,-1.
10,0.38398,0.352,0,-1.
11,0.338761,0.392,0,-1.
12,0.359681,0.344,0,-1.
13,0.403614,0.44,0,-1.
14,0.367626,0.348,0,-1.
15,0.38788,0.408,0,-1.
16,0.334505,0.36,0,-1.
17,0.392907,0.4,0,-1.
18,0.34405,0.388,0,-1.
19,0.353448,0.38,0,-1.
20,0.315,0.4,0,-1.
21,0.393458,0.384,0,-1.
22,0.387671,0.416,0,-1.
23,0.411029,0.412,0,-1.
24,0.3629,0.396,0,-1.
25,0.363977,0.436,0,-1.
26,0.355667,0.364,0,-1.
27,0.390934,0.336,0,-1.
28,0.405224,0.396,0,-1.
29,0.366141,0.36,0,-1.
30,0.355087,0.364,0,-1.
31,0.407175,0.428,0,-1.
32,0.429567,0.408,0,-1.
33,0.447023,0.432,0,-1.
34,0.365526,0.392,0,-1.
35,0.341035,0.328,0,-1.
36,0.362349,0.372,0,-1.
37,0.357063,0.376,0,-1.
38,0.369596,0.372,0,-1.
39,0.345487,0.384,0,-1.
40,0.371376,0.352,0,-1.
41,0.399117,0.36,0,-1.
42,0.414297,0.372,0,-1.
43,0.410036,0.428,0,-1.
44,0.418546,0.372,0,-1.
45,0.382282,0.4,0,-1.
46,0.336359,0.38,0,-1.
47,0.403278,0.368,0,-1.
48,0.298939,0.372,0,-1.
49,0.413383,0.416,0,-1.
50,0.362636,0.36,0,-1.
51,0.372458,0.352,0,-1.
52,0.370438,0.352,0,-1.
53,0.438451,0.392,0,-1.
54,0.425836,0.412,0,-1.
55,0.400039,0.428,0,-1.
56,0.412733,0.408,0,-1.
57,0.407938,0.396,0,-1.
58,0.352997,0.372,0,-1.
59,0.388136,0.364,0,-1.
60,0.363133,0.376,0,-1.
61,0.381851,0.364,0,-1.
62,0.422424,0.412,0,-1.
63,0.380452,0.36,0,-1.
64,0.351623,0.344,0,-1.
65,0.350619,0.372,0,-1.
66,0.411592,0.38,0,-1.
67,0.362455,0.388,0,-1.
68,0.397231,0.372,0,-1.
69,0.326286,0.312,0,-1.
70,0.325176,0.368,0,-1.
71,0.354068,0.4,0,-1.
72,0.379556,0.396,0,-1.
73,0.393797,0.388,0,-1.
74,0.368567,0.36,0,-1.
75,0.422426,0.368,0,-1.
76,0.353358,0.368,0,-1.
77,0.368832,0.384,0,-1.
78,0.406861,0.412,0,-1.
79,0.370172,0.344,0,-1.
80,0.393204,0.364,0,-1.
81,0.362751,0.412,0,-1.
82,0.364803,0.44,0,-1.
83,0.368536,0.36,0,-1.
84,0.437415,0.432,0,-1.
85,0.371564,0.368,0,-1.
86,0.359244,0.316,0,-1.
87,0.364435,0.344,0,-1.
88,0.402458,0.364,0,-1.
89,0.367757,0.412,0,-1.
90,0.38044,0.432,0,-1.
91,0.378331,0.388,0,-1.
92,0.389868,0.352,0,-1.
93,0.352307,0.332,0,-1.
94,0.393462,0.4,0,-1.
95,0.375801,0.34,0,-1.
96,0.354793,0.384,0,-1.
97,0.352903,0.36,0,-1.
98,0.393451,0.348,0,-1.
99,0.38119,0.364,0,-1.
100,0.374131,0.372,0,-1.

Summary Measures (across all batches)
Server Utilization,0.379563	+/- 0.00556435	(1.46599 %)
Loss/Blocking Probability,0.38036	+/- 0.00552475	(1.45251 %)
Average Number in Queue),0	+/- 0	(-1.#IND %)
Average Delay of Queued Arrivals,-1.#IND	+/- -1.#IND	(-1.#IND %)
